"Key","Publication Year","Author","Title","Series","Manual Tags"
"GWWW8UNU","2000","Moh, Chuang-Hue; Lim, Ee-Peng; Ng, Wee-Keong","Re-Engineering Structures from Web Documents","DL '00","XML; Web information discovery"
"Q66MVCQW","2000","Shneiderman, Ben; Feldman, David; Rose, Anne; Grau, Xavier Ferré","Visualizing Digital Library Search Results with Categorical and Hierarchical Axes","DL '00","information visualization; digital libraries; graphical user interfaces; categorical axes; hierarchy; hieraxes"
"3939TYXJ","2000","Fekete, Jean-Daniel; Dufournaud, Nicole","Compus: Visualization and Analysis of Structured Documents for Understanding Social Life in the 16th Century","DL '00","history; information visualization; XML; SGML; computers and the humanities; structured documents; TEI; visual data mining; XSL"
"JIKN46VW","2000","van Doorn, Mark G. L. M.; de Vries, Arjen P.","The Psychology of Multimedia Databases","DL '00","cognitive psychology and information retrieval; Marr's theory of perception; Paivio's dual coding theory; user and domain knowledge in query formulation"
"YBMY4RVP","2000","Giuffrida, Giovanni; Shek, Eddie C.; Yang, Jihoon","Knowledge-Based Metadata Extraction from PostScript Files","DL '00","automatic metadata extraction; retrieval; semistructured representation; XML; PostScript; architecture; GCLIPS"
"VNK5IIF3","2000","Craswell, Nick; Bailey, Peter; Hawking, David","Server Selection on the World Wide Web","DL '00","World Wide Web; distributed information retrieval; effectiveness evaluation; server selection"
"RE5UIHRD","2000","Brown, Michael S.; Seales, W. Brent","Beyond 2D Images: Effective 3D Imaging for Library Materials","DL '00","preservation; digital libraries; digitization; document acquisition; 3D scanning; acquisition; historic preservation"
"4TQ9KIIH","2000","Wolfe, Joanna L.","Effects of Annotations on Student Readers and Writers","DL '00","annotation; reading; annotation systems design; composition instruction; note-making; paper"
"SAKBEF7E","2000","Allen, Robert B.; Acheson, Jane","Browsing the Structure of Multimedia Stories","DL '00","browsing; multimedia; hypermedia; narratives; plot; structure; summaries"
"4S2KJTIF","1996","Crane, Gregory","Building a digital library: The perseus project as a case study in the humanities","DL '96","Perseus; project; Greece; findings"
"5IIC8B8C","1996","McNab, Rodger J.; Smith, Lloyd A.; Witten, Ian H.; Henderson, Clare L.; Cunningham, Sally Jo","Towards the digital music library: Tune retrieval from acoustic input","DL '96","relevance ranking; acoustic interfaces; melody recall; musical retrieval"
"5UK7S4S7","1996","Li, Wei; Gauch, Susan; Gauch, John; Pua, Kok Meng","Vision: A digital video library","DL '96","digital libraries; content-based indexing and retrieving; video and audio processing"
"C3VKJ2EN","1996","Brewer, Allen; Ding, Wei; Hahn, Karla; Komlodi, Anita","The role of intermediary services in emerging digital libraries","DL '96","intermediary services; roles; exploaration; value added services"
"UJM8J9LQ","1996","Leazer, Gregory H.; Smiraglia, Richard P.","Toward the bibliographic control of works: Derivative bibliographic relationships in an online union catalog","DL '96","bibliographic control; retrieval tool; conceptual model; bibliographic family; relationships; OCLC; union catalog"
"L456KNSC","1996","Lin, Xia","Graphical table of contents","DL '96","table of contents; graphical toc; gtoc; relationships; indexing; feature map"
"WGX44QFH","1996","Pediotakis, Nikos; Hascoët-Zizi, Mountaz","Visual relevance analysis","DL '96","search; visual relevance analysis; topic search; classification system"
"59G5U8AK","1996","Sakaguchi, Tetsuo; Maeda, Akira; Fujita, Takehisa; Sugimoto, Shigeo; Tabata, Koichi","A browsing tool of multi-lingual documents for users without multi-lingual fonts","DL '96","multilingual documents; Japanese"
"WPI6VPFZ","1996","North, Chris; Shneiderman, Ben; Plaisant, Catherine","User controlled overviews of an image library: A case study of the visible human","DL '96","digital library; information retrieval; user interface; visualization; browsing; information exploration; Internet; image database; medical image; remote access; World-Wide Web"
"K8QH5FAE","1996","Orendorf, Jason; Kacmar, Charles","A spatial approach to organizing and locating digital libraries and their content","DL '96","digital library; map; geographical; graphical; image; spatial"
"5X338F2G","1996","Lee, Yong Kyu; Yoo, Seong-Joon; Yoon, Kyoungro; Berra, P. Bruce","Index structures for structured documents","DL '96","SGML; query; document structure; query processing; index structure"
"S5VVYH39","1996","Phelps, Thomas A.; Wilensky, Robert","Toward active, extensible, networked documents: Multivalent architecture and applications","DL '96","online digital documents; multivalent documents"
"IBFFQND2","1996","Furuta, Richard; Marshall, Catherine C.; Shipman, Frank M.; Leggett, John J.","Physical objects in the digital library","DL '96","physical objects; botanical herbaria; botany"
"8SQ3AL6A","1996","Strzalkowski, Tomek; Perez-Carballo, Jose; Marinescu, Mihnea","Natural language information retrieval in digital libraries","DL '96","natural language information retrieval; system; indexer module; inverted index; nlp; natural language processing; TREC; randomized index-splitting"
"MBPZFEXY","1996","Schatz, Bruce R.; Johnson, Eric H.; Cochrane, Pauline A.; Chen, Hsinchun","Interactive term suggestion for users of digital libraries: Using subject thesauri and co-occurrence lists for information retrieval","DL '96","information retrieval; term suggestion; user interface; subject thesauri; co-occurence lists; retrieval system"
"WAF2CKIS","1996","Murphy, Lisa D.","Information product evaluation as asynchronous communication in context: A model for organizational research","DL '96","ISR; knowledge workers; evaluation models; information search and retrieval"
"ZIJ6P6CN","1996","Kellogg, Robert B.; Subhas, Madhan","Text to hypertext: Can clustering solve the problem in digital libraries?","DL '96","hypertext generation; full-text indexes; document segmentation; document clustering; clustering; link completeness"
"HXA485KL","1996","Manmatha, R.; Han, Chengfeng; Riseman, E. M.; Croft, W. B.","Indexing handwriting using word matching","DL '96","historical manuscripts; manuscripts; indexing; OCR; page segmentation; matching aspects"
"ZGAQ5XIW","1996","Shivakumar, Narayanan; Garcia-Molina, Hector","Building a scalable and accurate copy detection mechanism","DL '96","copy detection; UseNet; legal; performance; SCAM"
"WR3S5BY7","1996","Davis, James R.","Creating a networked computer science technical report library (poster)","DL '96","computer science; technical reports"
"M7H7BWF6","1996","D'Amore, Raymond J.; Helm, Daniel J.; Yan, Puck-Fai; Glanowski, Stephen A.","MITRE information discovery system (poster)","DL '96","MITRE; information discovery; system"
"K8JVK4SK","1996","Brassil, Jack","SEPTEMBER—Secure electronic publishing trail (poster)","DL '96","SEPTEMBER; publishing; secure"
"XXI56W38","1996","Giordano, Richard","Digital libraries and impacts on scientific careers (poster)","DL '96","scientific careers; impact"
"8I4AD9SR","1996","Gay, Geri; Mead, June P.","The common ground surrounding access: Theoretical and practical perspectives (poster)","DL '96","common ground surrounding access; access; perspectives"
"2WN8GTB8","1996","Moen, William E.; Perkins, John","The cultural heritage information online project (poster): Demonstrating access to distributed cultural heritage museum information","DL '96","cultural heritage; museum information"
"TTCNBCV3","1996","Kim, Hyunki; Shin, Hakgene; Chang, Jaewoo","An object-oriented hypermedia system for structured documents (poster)","DL '96","object oriented; hypermedia system; structured documents"
"YJIDSRIZ","1996","Puvvada, Varna; Campbell, Roy H.","Inverse mapping in the handle management system (poster)","DL '96","inverse mapping; handle"
"3Y6RXJWX","1996","Reyes, Joan A.","The electronic reserve system at penn state U. (poster)","DL '96","Penn State; reserve system"
"YJZ8C8LW","1996","Ross, Ruth A.; Kelso, Lois F.; Broughton, Gary R.; Hopkins, Edward J.","Providing multiple levels of difficulty in EarthLab's digital library (poster)","DL '96","EarthLab; levels"
"XELE3DGI","1996","Sairamesh, J.; Yemini, Y.; Ferguson, D. F.; Nikolaou, C.","A framework for pricing services in digital libraries (poster)","DL '96","framework; pricing"
"4M8T68WL","1996","Schoggl, Mag. Werner","Establishing computer-based information services in the school library (poster)","DL '96","school library; information services"
"ATNU8R7F","1996","Trant, J.","MESL project description (poster)","DL '96","MESL; project"
"RF2BCSEE","1996","Ide, Nancy; Klavans, Judith","The text encoding initiative guidelines and their application to building digital libraries (workshop)","DL '96","TEI; guidelines"
"LUW6YECN","1996","Van House, Nancy; Levy, David; Bishop, Ann; Buttenfield, Barbara","User needs assessment and evaluation: Issues and methods (workshop)","DL '96","user needs; assessment; evaluation"
"DK6SP2SM","1997","Wu, Victor; Manmatha, R.; Riseman, Edward M.","Finding text in images","DL '97","character recognition; background removal; binarization; connected-components analysis; filters; hierarchical processing; multimedia indexing; text detection; text reading system; texture segmentation"
"WDC3WAWT","1997","Quintana, Yuri","Organization and retrieval in a pictorial digital library","DL '97","organizing pictures; retrieval; semantic content; clustering; conceptual categories"
"SSEZ8U2X","1997","Christel, Michael G.; Winkler, David B.; Taylor, C. Roy","Multimedia abstractions for a digital video library","DL '97","digital video library; multimedia abstration; video abstraction; video browsing"
"VTK9MMXT","1997","Witbrock, Michael J.; Hauptmann, Alexander G.","Using words and phonetic strings for efficient information retrieval from imperfectly transcribed spoken documents","DL '97","transcription errors; information retrieval; effectiveness; news; speech recognition; retrieval errors"
"JVNFM23P","1997","Thompson, Roger; Shafer, Keith; Vizine-Goetz, Diane","Evaluating dewey concepts as a knowledge base for automatic subject assignment","DL '97","Dewey; DDC; concept definition; Scorpion project; class integrity; automatic subject assignment"
"7Z89AIIK","1997","Baldonado, Michelle; Chang, Chen-Chuan K.; Gravano, Luis; Paepcke, Andreas","Metadata for digital libraries: Architecture and design rationale","DL '97","digital libraries; attrabute model translation; attribute model translation; CORBA; heterogeneity; InfoBus; interoperability; metadata architecture; metadata repository; proxy architecture"
"8LLUKJBE","1997","Shin, Dongwook; Nam, Sejin; Kim, Munseok","Hypertext construction using statistical and semantic similarity","DL '97","hypertext construction; vector space model; statistical similarity; tf x idf; semantic similarity"
"CBRNWSTX","1997","Ketchpel, Steven P.; Garcia-Molina, Hector; Paepcke, Andreas","Shopping models: A flexible architecture for information commerce","DL '97","interaction models; shopping models; architecture; API; Stanford"
"UPU4JM8H","1997","Sánchez, J. Alfredo; Leggett, John J.; Schnase, John L.","AGS: Introducing agents as services provided by digital libraries","DL '97","AGS; digital library architectures; digital library interfaces; interface agents; open architectures; TAGS; user agents"
"54G7XNHB","1997","Weinstein, Peter; Alloway, Gene","Seed ontologies: Growing digital libraries as distributed, intelligent systems","DL '97","ontologies; description; classification; Michigan; IFLA hierarchy; computational elements; agents"
"YCUFHFF2","1997","Voorhees, Ellen M.; Tong, Richard M.","Multiple search engines in database merging","DL '97","database merging; search aggregation; SMART; TOPIC; search engines; relative effectiveness"
"E2I8IIGF","1997","Chang, Chen-Chuan K.; García-Molina, Héctor","Evaluating the cost of boolean query mapping","DL '97","query languages; boolean queries; filter query; post-filtering; search features; proximity operators"
"UCFRP5NA","1997","Hitchcock, S.; Carr, L.; Harris, S.; Hey, J. M. N.; Hall, W.","Citation linking: Improving access to online journals","DL '97","hypertext; citation linking; electronic journals; hypermedia; link services"
"82H2JJXL","1997","Rauber, Christian; Ó Ruanaidh, Joe; Pun, Thierry","Secure distribution of watermarked images for a digital library of ancient papers","DL '97","MEDIA; electronic publishing; project; electronic documents; digital watermarking; watermarks"
"DRE8IPJP","1997","Marshall, Catherine C.","Annotation: From paper books to the digital library","DL '97","digital library; annotation; annotation systems design; markings; reading tools; study"
"EEBXQU77","1997","Cousins, Steve B.; Paepcke, Andreas; Winograd, Terry; Bier, Eric A.; Pier, Ken","The digital library integrated task environment (DLITE)","DL '97","digital library; user interface; direct-manipulation; holophrasting; world-wide web"
"XD563TNT","1997","Robertson, Scott; Jitan, Sherif; Reese, Kathy","Web-based collaborative library research","DL '97","information searches; research analysis; indexing; Research and Information Group"
"9YIMFFW4","1997","Schiff, Lisa R.; Van House, Nancy A.; Butler, Mark H.","Understanding complex information environments: A social analysis of watershed planning","DL '97","social analysis; Berkeley; social theory; conceptual framework"
"HZDA6ATG","1997","Wu, Zhibiao; Liberman, Mark","LDC online: A digital library for linguistic research and development","DL '97","LDC; consortium; linguistic data consortium; speech recognition; natural language processing; indexing; Penn"
"EULHYQUR","1997","Arnold-Moore, Timothy; Anderson, Philip; Sacks-Davis, Ron","Managing a digital library of legislation","DL '97","Themis; legislation; SGML; versioning; document fragments; reference management"
"ASTHRXZM","1997","Yapp, Lawrence; Yamashita, Craig; Zick, Gregory","Content: A practical, scalable, high-performance multimedia database","DL '97","Content; database; API; architecture; multimedia objects"
"PZFHM77Z","1997","Pyreddy, Pallavi; Croft, W. Bruce","TINTIN: A system for retrieval in text tables","DL '97","tabular form; TINTIN; structural decomposition; retrieval"
"QPHY2RMM","1997","Levy, David M.","I read the news today, oh boy: Reading and attention in digital libraries","DL '97","digital library; reading; hypertext; attention"
"KSZFNI9T","1997","Marchionini, Gary; Nolet, Victor; Williams, Hunter; Ding, Wei; Beale, Josephus; Rose, Anne; Gordon, Allison; Enomoto, Ernestine; Harbinson, Lynn","Content + connectivity => community: Digital resources for a learning community","DL '97","learning; learning community; Baltimore; BLC; curriculum"
"W7D26PJ7","1997","Crabtree, Andy; Twidale, Michael B.; O'Brien, Jon; Nichols, David M.","Talking in the library: Implications for the design of digital libraries","DL '97","ethnomethodologically-informed ethnography; requirements elicitation; information search; univeristy library"
"6TH92EEG","1997","Nevill-Manning, Craig G.; Witten, Ian H.; Paynter, Gordon W.","Browsing in digital libraries: A phrase-based approach","DL '97","browsing; phrases; hierarchical structure; indexes; kwic"
"H2NCGZDN","1997","Cooper, James W.; Byrd, Roy J.","Lexical navigation: Visually prompted query expansion and refinement","DL '97","search; retrieval; Lexical Navigation; Java; lexical networks; lexical relationships"
"VBP2PF2B","1997","Crampes, Michel","Auto-adaptive illustration through conceptual evocation","DL '97","hypertext; auto-adaptativity; conceptual evocation; conceptual evocative engine; conceptual evocative links; conceptual graphs"
"4A58N8UY","1997","Abdulla, Ghaleb; Heagy, Winfield S.; Fox, Edward A.","Quantitative analysis and visualization regarding interactive learning with a digital library in computer science (poster)","DL '97","quantitative analysis; visualization; interactive learning; computer science"
"2Q3QZCEP","1997","Chen, Hsinchun; Smith, Terry R.; Ng, Tobun Dorbin","GeoScience self-organizing map and concept space (poster)","DL '97","GeoScience; self-organizing map; concept space"
"GSIRFXVC","1997","Chen, Hsinchun; Schatz, Bruce R.; Houston, Andrea L.; Sewell, Robin R.; Ng, Tobun Dorbin; Lin, Chienting","Internet browsing and searching (poster): User evaluations of category map and concept space techniques","DL '97","internet browsing; searching; user evaluation; category map; concept space"
"IURK5BQV","1997","Chen, Hsinchun; Schatz, Bruce R.; Ramsey, Marshall; Chung, Y-Ming","The itsy bitsy spider (poster)","DL '97","web "
"CV38GJS2","1997","Chen, Hsinchun; Schatz, Bruce R.; Hubbard, Susan M.; Doszkocs, Tamas E.; Houston, Andrea L.; Sewell, Robin R.; Tolle, Kristin M.; Ng, Tobun D.","Medical information retrieval (poster)","DL '97","medical information"
"LU2XVF8F","1997","Dempsey, Bert J.; Vreeland, Robert C.","LIBClient: A tool for legal research on the web (poster)","DL '97","LIBClient; legal; web"
"RCXYJL6B","1997","Jansen, Bernard J.","An information retrieval application for simulated annealing (poster)","DL '97","information retrieval; simulated annealing"
"UDSW5NLQ","1997","Kalyuga, Slava","Cognitive load effects and design of computer based instruction (poster)","DL '97","cognitive load; instruction"
"WKP6VDX9","1997","Kerr, Virginia; Dougherty, Claire","Packaging digitized images for access from an OPAC (poster)","DL '97","OPAC; images"
"BASJ5NYM","1997","Kirchhoff, Amy J.; Ratliff, Mark","Storage structures in digital libraries (poster): JSTOR","DL '97","storage structures; JSTOR"
"P6PQTT84","1997","Kozuch, Michael; Wolf, Wayne; Wolfe, Andrew; McKay, Don","Branch libraries for multimedia repositories (poster)","DL '97","branch libraries; multimedia repositories"
"4SCAB5ZD","1997","Meyer, Jeffrey; Cooper, Charles; Normann, Stephanie","Exporting a BRS/Search structured database to an access database on a web accessible windows NT server (poster)","DL '97","BRS; search; Windows NT;database"
"IZYBST9P","1997","Nelson, Michael L.; Maly, Kurt; Shen, Stewart N. T.","Building multi-discipline digital libraries (poster)","DL '97","multi-discipline"
"4TEKEP9I","1997","Rowe, Neil C.; Frew, Brian","Distinguishing the picture captions on the world wide web (poster)","DL '97","WWW; picture captions"
"XJXGWIUI","1997","Si, Antonio; Leong, Hong Va","On page coherence for dynamic HTML pages (poster)","DL '97","page coherence; HTML pages"
"7LT47HKB","1997","Song, Fei","Neighboring graphs as alternative organizations for information retrieval (poster)","DL '97","neighboring graphs; information retrieval"
"AVZQ8MXA","1997","Takasu, Atsuhiro","Bibliographic integration in digital document libraries (poster)","DL '97","bibliographic integration; digital documents"
"A8YMF2FF","1997","Thompson, Derek; Burka, Jeffrey; Marchionini, Gary","Connecting citizens to the national spatial data infrastructure via local libraries (poster)","DL '97","spatial data; infrastructure; connecting citizens"
"FV8U8VA3","1997","Tsang, Susanna S. Y.","Multilingual newspaper clippings image database (poster)","DL '97","neswpapers; clippings; image; database; multilingual"
"JIENDNUL","1998","Worring, Marcel; Smeulders, Arnold W. M.","Internet Access to Scanned Paper Documents","DL '98","paper documents; access"
"YAGLA8N9","1998","Tsai, Mark C.; Melmon, Kenneth L.","Digital Library for Education and Medical Decision Making","DL '98","Stanford; Health; SHINE; guideline texts; Z39.50; architecture; electronic notebook; integration system; information retrieval"
"ZZ5MKA7X","1998","Takeda, Koichi; Nomiyama, Hiroshi","Site Outlining","DL '98","site outlining; dynamic information sources; site; structured entity; annotated links; visualization"
"CBX2R6FM","1998","Sumner, Robert G.; Yang, Kiduk; Dempsey, Bert J.","An Interactive WWW Search Engine for User-Defined Collections","DL '98","www; IRISWeb; virtual collection; full-text searching; LIBClient; subject gateway; search engines"
"RLKR7PZK","1998","Roussinov, Dmitri; Ramsey, Marshall","Information Forage through Adaptive Visualization","DL '98","concept maps; automatic creation; intelligent searching; interactive data exploration; information representation; search engines; information retrieval"
"KWVDAT48","1998","Pun, Thierry; Roth, Patrick; Petrucci, Lori; Assimacopoulos, André","An Image-Capable Audio Internet Browser for Facilitating Blind User Access to Digital Libraries","DL '98","dissabilities; user interaction; blând users; image analysis; sound space"
"98D7CN5T","1998","Martin, Joe D.; Holte, Robert","Searching for Content-Based Addresses on the World-Wide Web","DL '98","queries; link rot; dead links"
"DUT95FHW","1998","Slaughter, Laura; Oard, Douglas W.; Warnick, Vernon L.; Harding, Julie L.; Wilkerson, Galen J.","A Graphical Interface for Speech-Based Retrieval","DL '98","usability testing; graphical interface; recorded speech; gui; multimedia"
"V8M37BY4","1998","Lim, Ee-Peng; Tan, Cheng-Hai; Lim, Boon-Wan; Ng, Wee-Keong","Querying Structured Web Resources","DL '98","queries; semantic tags; web collections; model; structured retrieval query"
"IVX3DPQM","1998","Kranch, Douglas A.","Preserving Electronic Documents","DL '98","preservation; electronic documents"
"9DXZPVK4","1998","Jones, Steve; Cunningham, Sally Jo; McNab, Rodger","Usage Analysis of a Digital Library","DL '98","logs; log analysis; search interface"
"CUR9BJ36","1998","Cubaud, Pierre; Thiria, Claire; Topol, Alexandre","Experimenting a 3D Interface for the Access to a Digital Library","DL '98","interface; HID; virtual reality; VRML"
"9SQCZXE9","1998","Bayraktar, Murat; Zhang, Change; Vadapalli, Bharadwaj; Kipp, Neill A.; Fox, Edward A.","A Web Art Gallery","DL '98","virtual art gallery; NDLTD; ETDs; VRML; architecture"
"F9CHGCJM","1998","Jones, Steve","Dynamic Query Result Previews for a Digital Library","DL '98","dynamic queries; query previews"
"L3ESN7YI","1998","Jansen, Bernard J.; Spink, Amanda; Saracevic, Tefko","Failure Analysis in Query Construction: Data and Analysis from a Large Sample of Web Queries","DL '98","query construction; failures; search engine interface; interface"
"P8KA8ZPX","1998","Hauptmann, Alexander G.; Lee, Danny","Topic Labeling of Broadcast News Stories in the Informedia Digital Video Library","DL '98","topic labeling; video; k-nearest; classification algorithm; topic detection; labeling; indexing; news"
"CBPF2QVR","1998","Glover, Eric J.; Birmingham, William P.","Using Decision Theory to Order Documents","DL '98","query results; model; topical relevance; value"
"ICIWYNJZ","1998","French, James C.; Powell, Allison L.; Creighton, Walter R.","Efficient Searching in Distributed Digital Libraries","DL '98","distributed repositories; NCSTRL; distributed searching; collection selection"
"XWZ5K7I5","1998","Chen, James R.; Mathé, Nathalie; Wolfe, Shawn","Collaborative Information Agents on the World Wide Web","DL '98","DIAMS; system; intelligent agents; infromation access; collaborative system; knowledge base"
"X2765JFW","1998","Baru, Chaitanya; Rajasekar, Arcot","A Hierarchical Access Control Scheme for Digital Libraries","DL '98","access control; security, collection hierarchies; san diego"
"J486SEGR","1998","Xu, Jian; Cao, Yinyan; Lim, Ee-Peng; Ng, Wee-Keong","Database Selection Techniques for Routing Bibliographic Queries","DL '98","query routing; database selection; bibliographic databases; information retrieval"
"Q343QI7Z","1998","Takahashi, Junichi; Kushida, Takayuki; Hong, Jung-Kook; Sugita, Shigeharu; Kurita, Yasuyuki; Rieger, Robert; Martin, Wendy; Gay, Geri; Reeve, John; Loverance, Rowena","Global Digital Museum: Multimedia Information Access and Creation on the Internet","DL '98","multimedia; global digital museum; museum education"
"5UX8PI8N","1998","Schilit, Bill N.; Price, Morgan N.; Golovchinsky, Gene","Digital Library Information Appliances","DL '98","interface; Xlibris; information appliance; digital ink"
